strategy_name,source,source_subtype,task,evaluation_split,status,diagnostic_reason,skip_reason,signal_threshold,signal_threshold_mode,threshold_objective,selected_threshold_objective_value,prediction_mode,calibration_method,feature_importance_method,selected_hyperparameters_json,checkpoint_selection_metric,best_checkpoint_metric_value,checkpoint_selection_effective_metric,best_checkpoint_effective_metric_value,checkpoint_selection_fallback_used,selected_loss,regression_loss,use_balanced_classification_loss,preprocessing_scaler,winsorize_lower_quantile,winsorize_upper_quantile,signal_count_by_split,trade_count,active_position_count,cumulative_return,realized_cumulative_return,annualized_return,realized_annualized_return,sharpe_ratio,simple_annualized_sharpe,raw_period_sharpe,autocorr_adjusted_sharpe,realized_sharpe_ratio,max_drawdown,realized_max_drawdown,mark_to_market_max_drawdown,win_rate,profit_factor,average_trade_return_bps,median_trade_return_bps,average_trade_pnl_usd,expectancy_per_trade_usd,expectancy_per_trade_bps,average_holding_hours,median_holding_hours,max_consecutive_losses,exposure_time_fraction,average_gross_leverage,max_gross_leverage,total_turnover_usd,total_fees_usd,total_gas_cost_usd,total_other_friction_usd,total_embedded_slippage_cost_usd,total_funding_pnl_usd,funding_contribution_share,total_gross_pnl_usd,total_net_pnl_usd,final_equity_usd,realized_final_equity_usd,has_trades
lstm_gross__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,1.3026254177,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,166.3894568424,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,4.8170695531,validation_avg_signal_return_bps,4.8170695531,False,huber,huber,False,robust,0.01,0.99,"{""test"": 2683, ""train"": 17571, ""validation"": 3288}",6645,6645,-2.1188042713396964,-2.1188042713397044,0.0,0.0,0.42712615247393326,0.42712615247393326,0.0045635636325373555,0.4166878295440739,0.4259453762761036,-2.118533226304422,-2.118533226304422,-2.118533226304422,0.0013544018058690745,0.0005451544737284558,-31.885692570951086,-32.30427332751792,-31.885692570951086,-31.885692570951086,-31.885692570951086,3.5363431151241533,2.0,3223,0.5099498708795382,0.10198997417590765,0.2,265800000.0,132900.0,13290.0,0.0,79739.99999999999,2418.5563,0.011414722599510195,-65690.42713396996,-211880.42713396996,-111880.42713396999,-111880.42713396999,True
tcn_direction__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,0.4874981762,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,128.1011880642,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""tcn"", ""tcn_dilation_base"": 2, ""tcn_hidden_channels"": 64, ""tcn_kernel_size"": 3, ""tcn_num_blocks"": 4, ""tcn_use_residual"": true, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.5469888183,validation_avg_signal_return_bps,3.5469888183,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 4271, ""train"": 17087, ""validation"": 3288}",9026,9026,-2.907651407466888,-2.9076514074668958,0.0,0.0,0.3712091663268528,0.3712091663268528,0.0039661272008323575,0.35415662357682387,0.3518848921427518,-2.9076595741318467,-2.907651407466894,-2.9076595741318467,0.0007755373365832041,0.0006180296231629511,-32.214174689418336,-32.65551218700687,-32.214174689418336,-32.214174689418336,-32.214174689418336,2.7426323953024596,2.0,5151,0.5372062238232678,0.10744124476465353,0.2,361040000.0,180520.0,18052.0,0.0,108311.99999999999,1845.4223,0.0063467797249041735,-92193.14074668997,-290765.1407466899,-190765.1407466894,-190765.1407466894,True
tcn_gross__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,1.4850677252,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,168.2142438499,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""tcn"", ""tcn_dilation_base"": 2, ""tcn_hidden_channels"": 64, ""tcn_kernel_size"": 3, ""tcn_num_blocks"": 4, ""tcn_use_residual"": true, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,4.9319322303,validation_avg_signal_return_bps,4.9319322303,False,huber,huber,False,robust,0.01,0.99,"{""test"": 2559, ""train"": 15105, ""validation"": 3288}",6942,6942,-2.2165701141446474,-2.216570114144643,0.0,0.0,0.3589707671912216,0.3589707671912216,0.0038353679090110697,0.37219091163653095,0.36657011175575477,-2.2162755312888143,-2.216386510588749,-2.2162755312888143,0.0011524056467876692,0.0009367790211172568,-31.92984895051357,-32.354730705219666,-31.92984895051357,-31.92984895051357,-31.92984895051357,3.0152693748199364,1.0,2731,0.45424361450489353,0.0908487229009787,0.2,277680000.0,138840.0,13884.0,0.0,83303.99999999999,2286.4143000000004,0.010315100277720294,-68933.0114144652,-221657.0114144652,-121657.011414465,-121657.011414465,True
gru_gross__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,1.2808223963,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,167.974938969,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,5.579850084,validation_avg_signal_return_bps,5.579850084,False,huber,huber,False,robust,0.01,0.99,"{""test"": 2708, ""train"": 16725, ""validation"": 3288}",7065,7065,-2.258174093042147,-2.2581740930421574,0.0,0.0,0.24849066153406382,0.24849066153406382,0.002654960225295989,0.19704749438929325,0.2566503357886566,-2.257869436111039,-2.2579752726045967,-2.257869436111039,0.0012738853503184713,0.0009508373194738292,-31.962832173278994,-32.378861758421124,-31.962832173278994,-31.962832173278994,-31.962832173278994,3.2089171974522293,2.0,2651,0.4919815108179076,0.09839630216358151,0.2,282600000.0,141300.0,14130.0,0.0,84779.99999999999,2445.2703,0.010828528710582219,-70387.4093042161,-225817.4093042161,-125817.40930421586,-125817.40930421586,True
gru_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.4702938038,validation_avg_signal_return_bps,3.4702938038,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 938, ""train"": 3305, ""validation"": 694}",3289,3289,-1.0452730825194503,-1.0452730825194503,0.0,0.0,-0.0014182452076583502,-0.0014182452076583502,-1.5153022623883997e-05,-0.0013865637919834896,-0.004051040892375889,-1.0452730825194503,-1.0452730825194503,-1.0452730825194503,0.0012161751292186075,0.0020557172171775276,-31.780878155045592,-32.32018209943729,-31.780878155045592,-31.780878155045592,-31.780878155045592,1.5256916996047432,1.0,1911,0.1088952062672251,0.02177904125344502,0.2,131560000.0,65780.0,6578.0,0.0,39467.99999999999,323.96479999999997,0.0030993317001824917,-32169.30825194496,-104527.30825194495,-4527.308251945025,-4527.308251945025,True
transformer_gross__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,1.2033634186,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,165.9149803696,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""transformer_encoder"", ""transformer_d_model"": 64, ""transformer_dim_feedforward"": 128, ""transformer_nhead"": 4, ""transformer_num_layers"": 2, ""transformer_pooling"": ""last"", ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,5.6140483207,validation_avg_signal_return_bps,5.6140483207,False,huber,huber,False,robust,0.01,0.99,"{""test"": 2911, ""train"": 17322, ""validation"": 3288}",7466,7466,-2.3904823428986974,-2.3904823428986974,0.0,0.0,-0.06293950204498254,-0.06293950204498254,-0.0006724674219053394,-0.04653806960095728,-0.052480564618056634,-2.3901456485686294,-2.3902256947136236,-2.3901456485686294,0.0009375837128315028,0.0013825395495998224,-32.01824729304441,-32.45620616959575,-32.01824729304441,-32.01824729304441,-32.01824729304441,3.144521832306456,1.0,4265,0.509472450684664,0.10189449013693279,0.2,298640000.0,149320.0,14932.0,0.0,89591.99999999999,2249.2002,0.009408980604611466,-74796.23428986958,-239048.23428986958,-139048.2342898695,-139048.2342898695,True
transformer_direction__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,0.5180777996,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,146.5390405134,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""transformer_encoder"", ""transformer_d_model"": 64, ""transformer_dim_feedforward"": 128, ""transformer_nhead"": 4, ""transformer_num_layers"": 2, ""transformer_pooling"": ""last"", ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.2171982791,validation_avg_signal_return_bps,3.2171982791,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 4217, ""train"": 16447, ""validation"": 3288}",9334,9334,-3.0181642493778735,-3.018164249377819,0.0,0.0,-0.21258659687131756,-0.21258659687131756,-0.0022713487727868196,-0.20422940507857348,-0.2174503710795149,-3.0181642493778087,-3.0181642493778083,-3.0181642493778087,0.0006428112277694451,0.0006947476219016731,-32.33516444587327,-32.75341024706766,-32.33516444587327,-32.33516444587327,-32.33516444587327,2.5798157274480396,2.0,5371,0.522558104207808,0.1045116208415616,0.2,373360000.0,186680.0,18668.0,0.0,112007.99999999999,1586.6042999999997,0.005256852075983192,-96468.42493778109,-301816.42493778106,-201816.42493778083,-201816.42493778083,True
gru_direction__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,0.4477498767,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,155.5581805243,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.4702938038,validation_avg_signal_return_bps,3.4702938038,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 3580, ""train"": 16611, ""validation"": 3288}",9160,9160,-2.9469184304602227,-2.9469184304602347,0.0,0.0,-0.3480035828635244,-0.3480035828635244,-0.003718190716138837,-0.36677049865151534,-0.3642914775045662,-2.946944767382217,-2.94691843046022,-2.946944767382217,0.0008733624454148472,0.001221236263192793,-32.17159858581025,-32.604489991240044,-32.17159858581025,-32.17159858581025,-32.17159858581025,2.5735807860262008,2.0,5074,0.5115774397257004,0.10231548794514009,0.2,366400000.0,183200.0,18320.0,0.0,109919.99999999999,1556.7615,0.005282675909549629,-93171.84304602192,-294691.8430460219,-194691.843046022,-194691.843046022,True
lstm_direction__validation_tuned_balanced_support,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,0.4333220382,constant,selected validation absolute-score threshold at quantile 0.5 using avg_signal_return_bps weighted by signal support,146.2709047919,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.6237543044,validation_avg_signal_return_bps,3.6237543044,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 4045, ""train"": 17023, ""validation"": 3288}",9196,9196,-2.9573462630869334,-2.9573462630869027,0.0,0.0,-0.41610962934696855,-0.41610962934696855,-0.004445859286858613,-0.4030617248215688,-0.4122196712445307,-2.9572840368945723,-2.9572758705233197,-2.9572840368945723,0.0006524575902566333,0.001280744291652227,-32.159050272802325,-32.593785599806544,-32.159050272802325,-32.159050272802325,-32.159050272802325,2.6665941713788603,2.0,5121,0.5321499099411905,0.1064299819882381,0.2,367840000.0,183920.0,18392.0,0.0,110351.99999999999,1368.0085,0.004625797516764445,-93422.6263086902,-295734.6263086902,-195734.62630869006,-195734.62630869006,True
tcn_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""tcn"", ""tcn_dilation_base"": 2, ""tcn_hidden_channels"": 64, ""tcn_kernel_size"": 3, ""tcn_num_blocks"": 4, ""tcn_use_residual"": true, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.5469888183,validation_avg_signal_return_bps,3.5469888183,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 902, ""train"": 3298, ""validation"": 703}",3325,3325,-1.054413452842228,-1.0544134528422282,0.0,0.0,-0.4791856498512412,-0.4791856498512412,-0.005119785319229217,-0.4501995507664823,-0.45180331050722494,-1.0544134528422282,-1.0544134528422282,-1.0544134528422282,0.002105263157894737,0.0035300290003745516,-31.711682792247462,-32.38314443746752,-31.711682792247462,-31.711682792247462,-31.711682792247462,1.499548872180451,1.0,1998,0.10820077689286257,0.021640155378572515,0.2,133000000.0,66500.0,6650.0,0.0,39899.99999999999,420.28740000000005,0.00398598290705693,-32291.345284222814,-105441.34528422281,-5441.345284222814,-5441.345284222814,True
transformer_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""transformer_encoder"", ""transformer_d_model"": 64, ""transformer_dim_feedforward"": 128, ""transformer_nhead"": 4, ""transformer_num_layers"": 2, ""transformer_pooling"": ""last"", ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.2171982791,validation_avg_signal_return_bps,3.2171982791,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 928, ""train"": 3307, ""validation"": 694}",3636,3636,-1.1650467121763184,-1.165046712176318,0.0,0.0,-0.485457553086511,-0.485457553086511,-0.005186796503970515,-0.4506402504697456,-0.49289908303767516,-1.1650467121763186,-1.1650467121763186,-1.1650467121763186,0.0008250825082508251,0.001480096118581515,-32.04198878372707,-32.44965235724216,-32.04198878372707,-32.04198878372707,-32.04198878372707,1.3723872387238725,1.0,2174,0.10828758056465788,0.02165751611293158,0.2,145440000.0,72720.0,7272.0,0.0,43631.99999999999,290.70709999999997,0.002495239864305156,-36512.67121763162,-116504.67121763164,-16504.67121763187,-16504.67121763187,True
lstm_direction__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,classification,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,3.6237543044,validation_avg_signal_return_bps,3.6237543044,False,bce_with_logits,,True,robust,0.01,0.99,"{""test"": 921, ""train"": 3316, ""validation"": 736}",3208,3208,-1.0213073459942508,-1.021307345994251,0.0,0.0,-0.6140627573394843,-0.6140627573394843,-0.0065608590138041285,-0.5519976140329261,-0.6147734957861835,-1.021307345994251,-1.021307345994251,-1.021307345994251,0.0015586034912718205,0.002417096583673851,-31.836263902563946,-32.38184484289823,-31.836263902563946,-31.836263902563946,-31.836263902563946,1.5707605985037407,1.0,1872,0.10935092554415052,0.021870185108830105,0.2,128320000.0,64160.0,6416.0,0.0,38495.99999999999,279.9973,0.0027415576819083804,-31554.734599425145,-102130.73459942514,-2130.7345994250936,-2130.7345994250936,True
transformer_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""transformer_encoder"", ""transformer_d_model"": 64, ""transformer_dim_feedforward"": 128, ""transformer_nhead"": 4, ""transformer_num_layers"": 2, ""transformer_pooling"": ""last"", ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,5.6140483207,validation_avg_signal_return_bps,5.6140483207,False,huber,huber,False,robust,0.01,0.99,"{""test"": 915, ""train"": 3346, ""validation"": 679}",3091,3091,-0.9783083568538821,-0.9783083568538821,-0.5172500217896501,-0.5172500217896501,-13.859369325763655,-13.859369325763655,-0.14807829831683908,-8.855103004510424,-13.969410168497085,-0.9783083568538822,-0.9783083568538822,-0.9783083568538822,0.0012940795858945326,0.0035200754338648413,-31.650221832865846,-32.26720841512043,-31.650221832865846,-31.650221832865846,-31.650221832865846,1.604982206405694,1.0,1911,0.10765825394414184,0.02153165078882837,0.2,123640000.0,61820.0,6182.0,0.0,37091.99999999999,446.3017,0.004561973705665258,-29828.835685388327,-97830.83568538833,2169.164314611786,2169.164314611786,True
tcn_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""dropout"": 0.1, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""tcn"", ""tcn_dilation_base"": 2, ""tcn_hidden_channels"": 64, ""tcn_kernel_size"": 3, ""tcn_num_blocks"": 4, ""tcn_use_residual"": true, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,4.9319322303,validation_avg_signal_return_bps,4.9319322303,False,huber,huber,False,robust,0.01,0.99,"{""test"": 959, ""train"": 3308, ""validation"": 700}",3050,3050,-0.962959918916148,-0.9629599189161483,-0.46556047444360604,-0.46556047444360604,-15.674786358895085,-15.674786358895085,-0.16747484217701178,-10.391771202812915,-15.856120324211682,-0.9629599189161484,-0.9629599189161483,-0.9629599189161484,0.001639344262295082,0.0042803101872375595,-31.57245635790655,-32.296633238866825,-31.57245635790655,-31.57245635790655,-31.57245635790655,1.6347540983606557,1.0,1855,0.10820077689286257,0.02164015537857252,0.2,122000000.0,61000.0,6100.0,0.0,36599.99999999999,542.043,0.005628925870664391,-29195.991891614976,-96295.99189161498,3704.008108385169,3704.008108385169,True
gru_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""gru"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,5.579850084,validation_avg_signal_return_bps,5.579850084,False,huber,huber,False,robust,0.01,0.99,"{""test"": 930, ""train"": 3523, ""validation"": 701}",2890,2890,-0.9153200539011792,-0.9153200539011795,-0.3745874104650232,-0.3745874104650232,-18.235766703125304,-18.235766703125304,-0.1948372424769683,-12.487790436079724,-18.543560884842996,-0.9153200539011794,-0.9153200539011793,-0.9153200539011794,0.001384083044982699,0.0015236115416479056,-31.67197418343185,-32.25585952473608,-31.67197418343185,-31.67197418343185,-31.67197418343185,1.7813148788927335,1.0,1772,0.1117163256005729,0.022343265120114583,0.2,115600000.0,57800.0,5780.0,0.0,34679.99999999999,550.9107,0.0060187766852912985,-27952.005390118047,-91532.00539011805,8467.994609882066,8467.994609882066,True
lstm_gross__rolling_top_decile_abs,exploratory_dl,deep_learning_showcase,regression,combined,completed,,,,varying,rolling_abs_percentile >= 0.90 with window 336 and min_history 168,,static,none,ablation_validation,"{""batch_size"": 256, ""bidirectional"": false, ""dropout"": 0.1, ""hidden_size"": 64, ""learning_rate"": 0.001, ""lookback_steps"": 48, ""model_name"": ""lstm"", ""num_layers"": 2, ""weight_decay"": 1e-05}",validation_avg_signal_return_bps,4.8170695531,validation_avg_signal_return_bps,4.8170695531,False,huber,huber,False,robust,0.01,0.99,"{""test"": 937, ""train"": 3526, ""validation"": 712}",2631,2631,-0.831168456059368,-0.8311684560593668,-0.2869241818235424,-0.2869241818235424,-19.451116528454023,-19.451116528454023,-0.2078224606181573,-13.807262813996411,-19.86579622494639,-0.8311684560593671,-0.8311684560593671,-0.8311684560593671,0.0007601672367920942,0.0015298391589485649,-31.59135142757002,-32.22502610261034,-31.59135142757002,-31.59135142757002,-31.59135142757002,1.9730140630938806,1.0,2397,0.11264946507237256,0.022529893014474514,0.2,105240000.0,52620.0,5262.0,0.0,31571.999999999993,657.9956999999999,0.007916514338376212,-25234.845605936724,-83116.84560593673,16883.1543940633,16883.1543940633,True
