feature,importance_mean,importance_std,abs_importance_mean
spread_usd,0.21011476676485935,0.02424320587124549,0.21011476676485935
spread_bps,0.056341164420755166,0.01116665191958882,0.056341164420755166
spread_deviation_24h,0.046256732979852444,0.0055176473812202165,0.046256732979852444
funding_mean_168h,0.04475520048906656,0.002747732237359266,0.04475520048906656
funding_mean_72h,0.044347272075140685,0.003654406010448161,0.044347272075140685
funding_positive_share_168h,0.036317987245999286,0.0043536949763366695,0.036317987245999286
spread_deviation_72h,0.0279977294293527,0.007870558694270247,0.0279977294293527
spread_deviation_168h,0.020822640718367324,0.012583510789830686,0.020822640718367324
spread_change_24h,-0.019676498637353303,0.0030686316206522545,0.019676498637353303
funding_positive_share_72h,0.017510146016981844,0.0013514718490857808,0.017510146016981844
spread_deviation_8h,0.0169053539460144,0.003723031787268075,0.0169053539460144
funding_mean_24h,0.014542823867404308,0.0019764601918188392,0.014542823867404308
spread_std_24h,-0.011564515324141489,0.0007570625428952637,0.011564515324141489
spread_x_perp_vol_24h,0.01028003359181362,0.0031881374237066737,0.01028003359181362
funding_mean_8h,0.00854413054160581,0.0025315028988997946,0.00854413054160581
spread_reversion_signal_72h,-0.00521780223514341,0.0016922986848879476,0.00521780223514341
spread_zscore_72h,-0.005217785044182221,0.0016922321581429715,0.005217785044182221
funding_std_168h,0.004010562892408665,0.0007367391397064449,0.004010562892408665
funding_std_72h,0.00371138375290343,0.0022055279525324168,0.00371138375290343
spread_std_8h,-0.003684636066737923,0.0019388196207060216,0.003684636066737923
spread_mean_24h,-0.003609293666063529,0.0029749499864104557,0.003609293666063529
spread_mean_8h,0.00317822483330783,0.0053838550058727215,0.00317822483330783
spread_zscore_168h,-0.0017599684201968558,0.0016744955294142917,0.0017599684201968558
spread_reversion_signal_168h,-0.0017598846400685986,0.001674546346650489,0.0017598846400685986
funding_std_8h,0.0011066856041352935,0.0014343110344574206,0.0011066856041352935
spread_change_1h,-0.0005489379700666319,0.00029870090133050713,0.0005489379700666319
spread_mean_72h,-0.00047432123494086655,0.002210381030496241,0.00047432123494086655
funding_std_24h,0.0004032703247158764,0.0002670258294787256,0.0004032703247158764
spread_mean_168h,-0.0001247439459715949,2.215177747693796e-05,0.0001247439459715949
spread_reversion_signal_24h,0.0,0.0,0.0
spread_reversion_signal_8h,0.0,0.0,0.0
spread_std_168h,0.0,0.0,0.0
spread_std_72h,0.0,0.0,0.0
spot_volume_raw,0.0,0.0,0.0
funding_annualized_proxy,0.0,0.0,0.0
funding_mean_168h__missing,0.0,0.0,0.0
spread_zscore_24h,0.0,0.0,0.0
perp_volume_ratio_168h__missing,0.0,0.0,0.0
spread_std_168h__missing,0.0,0.0,0.0
spread_reversion_signal_168h__missing,0.0,0.0,0.0
spread_mean_168h__missing,0.0,0.0,0.0
spread_deviation_168h__missing,0.0,0.0,0.0
spot_volume_ratio_168h__missing,0.0,0.0,0.0
spot_volume_change_1h__missing,0.0,0.0,0.0
spot_realized_vol_72h__missing,0.0,0.0,0.0
spot_realized_vol_168h__missing,0.0,0.0,0.0
perp_realized_vol_72h__missing,0.0,0.0,0.0
spread_zscore_8h,0.0,0.0,0.0
perp_realized_vol_168h__missing,0.0,0.0,0.0
high_vol_regime__missing,0.0,0.0,0.0
funding_zscore_24h__missing,0.0,0.0,0.0
funding_zscore_168h__missing,0.0,0.0,0.0
funding_std_168h__missing,0.0,0.0,0.0
funding_positive_share_168h__missing,0.0,0.0,0.0
spot_volume_ratio_72h,0.0,0.0,0.0
wide_spread_regime,0.0,0.0,0.0
spot_volume_ratio_8h,0.0,0.0,0.0
spot_return_shock_24h,0.0,0.0,0.0
spot_volume_ratio_24h,0.0,0.0,0.0
funding_zscore_24h,0.0,0.0,0.0
perp_realized_vol_8h,0.0,0.0,0.0
perp_realized_vol_72h,0.0,0.0,0.0
perp_realized_vol_24h,0.0,0.0,0.0
perp_realized_vol_168h,0.0,0.0,0.0
perp_dollar_volume_raw,0.0,0.0,0.0
perp_close,0.0,0.0,0.0
perp_abs_return_1h,0.0,0.0,0.0
high_vol_regime,0.0,0.0,0.0
funding_zscore_72h,0.0,0.0,0.0
funding_zscore_168h,0.0,0.0,0.0
spot_volume_ratio_168h,0.0,0.0,0.0
funding_x_spread_bps,0.0,0.0,0.0
funding_x_perp_vol_24h,0.0,0.0,0.0
funding_sign,0.0,0.0,0.0
funding_rate_raw,0.0,0.0,0.0
funding_rate_bps,0.0,0.0,0.0
funding_rate,0.0,0.0,0.0
funding_positive_share_8h,0.0,0.0,0.0
funding_positive_share_24h,0.0,0.0,0.0
funding_event_flag,0.0,0.0,0.0
perp_return_1h,0.0,0.0,0.0
perp_return_shock_24h,0.0,0.0,0.0
perp_volume,0.0,0.0,0.0
perp_volume_change_1h,0.0,0.0,0.0
spot_volume_change_1h,0.0,0.0,0.0
spot_volume,0.0,0.0,0.0
funding_event,0.0,0.0,0.0
spot_return_1h,0.0,0.0,0.0
spot_realized_vol_8h,0.0,0.0,0.0
spot_realized_vol_72h,0.0,0.0,0.0
spot_realized_vol_24h,0.0,0.0,0.0
spot_realized_vol_168h,0.0,0.0,0.0
spot_dollar_volume_raw,0.0,0.0,0.0
spot_close_was_missing,0.0,0.0,0.0
spot_close,0.0,0.0,0.0
spot_abs_return_1h,0.0,0.0,0.0
shock_regime,0.0,0.0,0.0
positive_funding_regime,0.0,0.0,0.0
perp_volume_raw,0.0,0.0,0.0
perp_volume_ratio_8h,0.0,0.0,0.0
perp_volume_ratio_72h,0.0,0.0,0.0
perp_volume_ratio_24h,0.0,0.0,0.0
perp_volume_ratio_168h,0.0,0.0,0.0
spread_zscore_168h__missing,0.0,0.0,0.0
